,NAME,PROFILE_LINK
1," Cate Blanchett
",https://imdb.com/name/nm0000949
2," Natalie Portman
",https://imdb.com/name/nm0000204
3," Uma Thurman
",https://imdb.com/name/nm0000235
4," Helena Bonham Carter
",https://imdb.com/name/nm0000307
5," Frances McDormand
",https://imdb.com/name/nm0000531
6," Meryl Streep
",https://imdb.com/name/nm0000658
7," Sigourney Weaver
",https://imdb.com/name/nm0000244
8," Charlize Theron
",https://imdb.com/name/nm0000234
9," Julianne Moore
",https://imdb.com/name/nm0000194
10," Robin Wright
",https://imdb.com/name/nm0000705
11," Jodie Foster
",https://imdb.com/name/nm0000149
12," Rachel McAdams
",https://imdb.com/name/nm1046097
13," Emma Stone
",https://imdb.com/name/nm1297015
14," Ellen Burstyn
",https://imdb.com/name/nm0000995
15," Saoirse Ronan
",https://imdb.com/name/nm1519680
16," Marlene Dietrich
",https://imdb.com/name/nm0000017
17," Nicole Kidman
",https://imdb.com/name/nm0000173
18," Sally Hawkins
",https://imdb.com/name/nm1020089
19," Jennifer Lawrence
",https://imdb.com/name/nm2225369
20," Marilyn Monroe
",https://imdb.com/name/nm0000054
21," Julie Delpy
",https://imdb.com/name/nm0000365
22," Keira Knightley
",https://imdb.com/name/nm0461136
23," Adèle Exarchopoulos
",https://imdb.com/name/nm2650819
24," Anne Hathaway
",https://imdb.com/name/nm0004266
25," Kim Novak
",https://imdb.com/name/nm0001571
26," Ingrid Bergman
",https://imdb.com/name/nm0000006
27," Amy Adams
",https://imdb.com/name/nm0010736
28," Margot Robbie
",https://imdb.com/name/nm3053338
29," Mélanie Laurent
",https://imdb.com/name/nm0491259
30," Emma Watson
",https://imdb.com/name/nm0914612
31," Jennifer Connelly
",https://imdb.com/name/nm0000124
32," Kate Winslet
",https://imdb.com/name/nm0000701
33," Marion Cotillard
",https://imdb.com/name/nm0182839
34," Shelley Duvall
",https://imdb.com/name/nm0001167
35," Diane Kruger
",https://imdb.com/name/nm1208167
36," Mia Farrow
",https://imdb.com/name/nm0001201
37," Bette Davis
",https://imdb.com/name/nm0000012
38," Jennifer Jason Leigh
",https://imdb.com/name/nm0000492
39," Hilary Swank
",https://imdb.com/name/nm0005476
40," Alicia Vikander
",https://imdb.com/name/nm2539953
41," Jessica Chastain
",https://imdb.com/name/nm1567113
42," Julia Roberts
",https://imdb.com/name/nm0000210
43," Bibi Andersson
",https://imdb.com/name/nm0000761
44," Vivien Leigh
",https://imdb.com/name/nm0000046
45," Eva Green
",https://imdb.com/name/nm1200692
46," Audrey Tautou
",https://imdb.com/name/nm0851582
